applicant_type,application_number,ben,cnct_email,form_471_manufacturer_name,form_471_product_name,funding_request_number,funding_year,model_of_equipment,monthly_quantity,monthly_recur_ineligible_cost,monthly_recurring_unit_eligible_costs,one_time_eligible_costs,one_time_ineligible_cost,one_time_quantity,organization_name,pre_discount_extended_eligible_line_item_costs,price,standardized_vendor,state,total_eligible_one_time_costs,total_eligible_recurring_costs,total_monthly_cost,total_monthly_eligible_recurring_costs,total_one_time_cost
School District,221033274,140420,bgillham@spk12.org,Extreme Networks,Cabling,2299049081,2022,10099,0,0,0,9.55,0,1,SHADY POINT SCHOOL DISTRICT 4,9.55,No,Extreme,OK,9.55,0,0,0,9.55
School District,221024890,140324,dsovereign@kelloggllc.com,Aruba,Access Point,2299034577,2022,"(WRES 85170) Q9H63A | HPE Aruba AP-515 (US) - Campus - wireless access point -Wi-Fi 5 - 2.4 GHz, 5 GHz - in-ceiling",0,0,0,550.71,0,33,SHAWNEE INDEP SCHOOL DIST I-93,18173.43,No,Hp,OK,18173.43,0,0,0,550.71
Consortium,221032362,17030261,dsovereign@kelloggllc.com,Extreme Networks,License,2299047285,2022,XCIQ-PT054-CEW- 3YK12 | ExtremeCloud IQ Pilot - Right-To-Use subscription license 3YR,0,0,0,432,0,14,Community Strategies Epic Consortium,6048,No,Extreme,OK,6048,0,0,0,432
School,221020281,84670,clewis@erateprogram.com,Meraki,Module,2299026591,2022,switch - power supply - MA-PWR-1025WAC,0,0,0,858.3,0,4,CASCIA HALL PREPARATORY SCHOOL,3433.2,No,Cisco,OK,3433.2,0,0,0,858.3
School District,221014642,139831,dsovereign@kelloggllc.com,Cisco Systems,License,2299018016,2022,"EDU-DNA-A-5Y | Wireless Cisco DNA On-Prem Advantage, 5Y Term License",0,0,0,450,0,3500,OKLAHOMA CITY SCHOOL DIST I-89,1575000,No,Cisco,OK,1575000,0,0,0,450
School District,221017312,140334,riley.harpole@kelloggllc.com,Extreme Networks,License,2299021916,2022,(District 140334) 97304-X695-48Y-8C | License,0,0,0,750,0,2,BYNG SCHOOL DISTRICT 16,1500,No,Extreme,OK,1500,0,0,0,750
Library System,221028097,140118,dsovereign@kelloggllc.com,Meraki,Access Point,2299039907,2022,(OW-2 84533) MR56-HW | Meraki MR56 Wi-Fi 6 Indoor AP,0,0,0,589.97,0,5,TULSA CITY-COUNTY LIBRARY SYS,2949.85,No,Cisco,OK,2949.85,0,0,0,589.97
School District,221011003,140269,riley.harpole@kelloggllc.com,Ruckus Wireless,Switch,2299013005,2022,(District 140269) CX-FAN12-E | ICX 7650 EXHAUST AIRFLOW FAN FRNT TO BK,0,0,0,105.27,28.73,2,PONCA CITY INDEP SCH DIST 71,210.54,Yes,Ruckus,OK,210.54,0,0,0,134
School District,221018926,139957,hamptonsh@canton.k12.ok.us,Meraki,License,2299028716,2022,Advance Security,0,0,0,4742.5,4742.5,1,CANTON INDEP SCHOOL DIST 105,4742.5,No,Cisco,OK,4742.5,0,0,0,9485
School District,221032232,140189,cbailey@kelloggllc.com,Juniper Networks,Switch,2299046946,2022,(District 140189) B-EX230024MP-5M2-E | EX2300-24MP,0,0,0,2082.92,0,0,HULBERT PUBLIC SCHOOLS,0,No,Hp,OK,0,0,0,0,2082.92
School District,221033274,140420,bgillham@spk12.org,Fortinet,"Installation, Activation, & Initial Configuration",2299049081,2022,"P400104,P400107",0,0,0,2101.6,858.4,1,SHADY POINT SCHOOL DISTRICT 4,2101.6,No,Fortinet,OK,2101.6,0,0,0,2960
School District,221018198,140049,kimberly@crwconsulting.com,Palo Alto,Racks & Cabinets,2299023274,2022,PAN-PA-2RU-RAC K4,0,0,0,72.6,0,1,VERDIGRIS INDEP SCHOOL DIST 8,72.6,No,Palo Alto,OK,72.6,0,0,0,72.6
School District,221018013,140122,cbailey@kelloggllc.com,Aruba,Racks & Cabinets,2299022916,2022,(District 140122) Q9G70A | AP-MNT-MP10-C AP Mount,0,0,0,31.51,0,1,UNION INDEP SCHOOL DISTRICT 9,31.51,No,Hp,OK,31.51,0,0,0,31.51
School District,221032694,16051616,kenny@acklin.net,Ubiquiti,Switch,2299048271,2022,US-16-150W Ubiquiti 16 port switch managed PoE+ w SFP,0,0,0,718.5,0,1,"BIG FIVE COMMUNITY SERVICES, INC.",718.5,Yes,Ubiquiti,OK,718.5,0,0,0,718.5
Library,221015991,139986,bookwoman@watonga.lib.ok.us,Meraki,Access Point,2299020067,2022,MR36 Wireless Access Point MR36-HW,0,0,0,469.72,0,1,WATONGA PUBLIC LIBRARY,469.72,No,Cisco,OK,469.72,0,0,0,469.72
School District,221029652,139751,riley.harpole@kelloggllc.com,Extreme Networks,Transceiver,2299047324,2022,(District 139751) 10302 | Extreme Networks - SFP+ transceiver module - 10 GigE -10GBase-LR - LC single-mode - up to 6.2 miles - 1310 nm,0,0,0,1160.13,0,8,CHICKASHA INDEP SCHOOL DIST 1,9281.04,No,Extreme,OK,9281.04,0,0,0,1160.13
School District,221027277,140229,riley.harpole@kelloggllc.com,Ubiquiti,Access Point,2299038576,2022,(District 140229)  | UniFi WiFi 6 Enterprise,0,0,0,260,0,15,MCALESTER PUBLIC SCHOOLS I-80,3900,No,Ubiquiti,OK,3900,0,0,0,260
School District,221011202,139797,dchristensen@kelloggllc.com,Aruba,Module,2299016455,2022,(District 139797) J9992A | Aruba 20-port 10/100/1000BASE-T PoE+ MACsec/1-port 40GbE QSFP+ v3 zl2 Module,0,0,0,2429.98,0,4,NOBLE INDEP SCHOOL DISTRICT 40,9719.92,No,Hp,OK,9719.92,0,0,0,2429.98
School District,221022612,140080,eratemone4u@yahoo.com,SonicWALL,Operating System Software of Eligible Equipment,2299030491,2022,02-SSC-9295 ESSENTIAL PROTECT SVC STE NSA 6700 1YR SERVICE,0,0,0,7375,7375,1,MANNFORD INDEP SCHOOL DIST 3,7375,No,Sonicwall,OK,7375,0,0,0,14750
School District,221031787,140043,eratemone4u@yahoo.com,Extreme Networks,Transceiver,2299046223,2022,10302-AO,0,0,0,245,0,8,BRISTOW PUBLIC SCHOOLS,1960,No,Extreme,OK,1960,0,0,0,245
School District,221022091,140257,dsovereign@kelloggllc.com,Dell,Cabling,2299029570,2022,(SHS 85037) 470-AAPW | 1 Meter Stacking Cables,0,0,0,48,0,1,STRINGTOWN INDEP SCHOOL DIST 7,48,No,Dell,OK,48,0,0,0,48
School District,221005064,140166,kimberly@crwconsulting.com,Ruckus Wireless,License,2299005140,2022,CLD-S71M-3001,0,0,0,0,159.8,160,HILLDALE SCHOOL DISTRICT,0,No,Ruckus,OK,0,0,0,0,159.8
School District,221003200,140097,riley.harpole@kelloggllc.com,Aruba,License,2299002966,2022,(District 140097) JW472AAE | ARUBA CTRL PER AP CAP LIC E-LTU,0,0,0,30.32,0,568,SAND SPRINGS SCHOOL DISTRICT 2,17221.76,No,Hp,OK,17221.76,0,0,0,30.32
School District,221029330,140215,eratemone4u@yahoo.com,Aruba,Access Point,2299041955,2022,Q9G69A,0,0,0,72.35,0,2,TAHLEQUAH INDEP SCHOOL DIST 35,144.7,No,Hp,OK,144.7,0,0,0,72.35
School District,221025509,140134,riley.harpole@kelloggllc.com,Fortinet,Module,2299035614,2022,(HS 84780) FN-TRAN-SFP+SR | SFP+ TRANSCEIVER MODULE - 10 GIGE - 10GBASE-SR,0,0,0,64.64,0,8,COMMERCE PUBLIC SCHOOLS,517.12,No,Fortinet,OK,517.12,0,0,0,64.64
School District,221032773,140361,riley.harpole@kelloggllc.com,Ubiquiti,Switch,2299048161,2022,"(HS 85260)  | Ubiquiti, UniFi Switch Pro 48p 600w PoE 4x 10G Uplink",0,0,0,1099,0,2,MEEKER INDEP SCHOOL DIST IO-95,2198,No,Ubiquiti,OK,2198,0,0,0,1099
School District,221020639,140421,terickson@smithville.k12.ok.us,Extreme Networks,Cabling,2299028395,2022,10304 Network cable 3.28ft,0,0,0,71,0,4,SMITHVILLE I-14 SCHOOL DISTRICT,284,No,Extreme,OK,284,0,0,0,71
School District,221024890,140324,dsovereign@kelloggllc.com,Aruba,Cabling,2299034577,2022,"(District 140324) JW124A | HPE Aruba - Power cable - NEMA 5-15 (M) to IEC 60320 C13 -AC 125 V - 15 A - 6 ft - North America - for HPE Aruba AP-207, 303, 304, 305, 365, 367, 504, 515, 535; Instant IAP-207,304, 305, 325",0,0,0,2.18,0,2,SHAWNEE INDEP SCHOOL DIST I-93,4.36,No,Hp,OK,4.36,0,0,0,2.18
School District,221029652,139751,riley.harpole@kelloggllc.com,Extreme Networks,Cabling,2299047324,2022,(District 139751) 10304 | Extreme Networks - Ethernet 10GBase-CR cable - SFP+ (M)to SFP+ (M) - 3.3 ft - for ExtremeCloud E3120,0,0,0,77.47,0,1,CHICKASHA INDEP SCHOOL DIST 1,77.47,No,Extreme,OK,77.47,0,0,0,77.47
School District,221036281,139985,wpstech@watonga.k12.ok.us,Fortinet,Switch,2299054539,2022,FS-148F-FPOE,0,0,0,1168,0,24,WATONGA INDEP SCHOOL DIST 42,28032,No,Fortinet,OK,28032,0,0,0,1168
School District,221022925,139841,cfadaiepour@francistuttle.edu,Fortinet,Firewall Services & Components,2299031056,2022,FG-601E-BDL-950-12,0,0,0,9463.95,3882.47,1,FRANCIS TUTTLE TECHNOLOGY CENTER SCHOOL DISTRICT #21,9463.95,No,Fortinet,OK,9463.95,0,0,0,13346.42
School District,221022115,140165,dsovereign@kelloggllc.com,Extreme Networks,Module,2299029614,2022,(Indian Capital Technology Campus 140165) XN-ACPWR-350W-FB | 350W AC Power Supply - Front to Back Airflow,0,0,0,370,0,2,INDIAN CAPITAL TECHNOLOGY CENTERS,740,No,Extreme,OK,740,0,0,0,370
School District,221026655,139826,riley.harpole@kelloggllc.com,Cisco Systems,License,2299037871,2022,(District 139826) C9300-DNA-L-P-3Y | Digital Network Architecture Premier - Term License (3 years),0,0,0,1766.7,0,3,YUKON INDEP SCHOOL DISTRICT 27,5300.1,No,Cisco,OK,5300.1,0,0,0,1766.7
School District,221032642,139822,cbailey@kelloggllc.com,Meraki,License,2299047896,2022,"(District 139822) LIC-MS390-48E-3Y | MS390 48-port Enterprise License and Support, 3 Year",0,0,0,949.62,0,1,WEATHERFORD SCHOOL DISTRICT 26,949.62,No,Cisco,OK,949.62,0,0,0,949.62
School District,221025509,140134,riley.harpole@kelloggllc.com,Fortinet,Access Point,2299035614,2022,(HS 84780) FAP-431F-A | FORTIAP 431F - WIRELESS ACCESS POINT,0,0,0,517.66,0,6,COMMERCE PUBLIC SCHOOLS,3105.96,No,Fortinet,OK,3105.96,0,0,0,517.66
School District,221032694,16051616,kenny@acklin.net,Ubiquiti,Access Point,2299048118,2022,UAP- AC-PRO-US Ubiquiti Access Point,0,0,0,299.25,0,3,"BIG FIVE COMMUNITY SERVICES, INC.",897.75,Yes,Ubiquiti,OK,897.75,0,0,0,299.25
School District,221026655,139826,riley.harpole@kelloggllc.com,Cisco Systems,Module,2299037871,2022,(District 139826) C9300-NM-2Y | Expansion module - 25 Gigabit Ethernet,0,0,0,992.96,0,87,YUKON INDEP SCHOOL DISTRICT 27,86387.52,No,Cisco,OK,86387.52,0,0,0,992.96
School District,221020444,140306,riley.harpole@kelloggllc.com,Ubiquiti,Switch,2299026874,2022,(FTHS 85135) 24 Port POE | USW-24-POE,0,0,0,440.4,0,5,FORT TOWSON INDEP SCH DIST 2,2202,No,Ubiquiti,OK,2202,0,0,0,440.4
School District,221022115,140165,dsovereign@kelloggllc.com,Extreme Networks,License,2299029614,2022,(Indian Capital Technology Campus 140165) 97000-5520-24X | EW Software & TAC - 5520-24X COTERM: This Term: 365 Days,0,0,0,498,0,1,INDIAN CAPITAL TECHNOLOGY CENTERS,498,No,Extreme,OK,498,0,0,0,498
School District,221029330,140215,eratemone4u@yahoo.com,Aruba,Module,2299041955,2022,JW657A POWER SUPPLY,0,0,0,189.09,0,1,TAHLEQUAH INDEP SCHOOL DIST 35,189.09,No,Hp,OK,189.09,0,0,0,189.09
School District,221027264,140102,riley.harpole@kelloggllc.com,Aruba,Transceiver,2299038632,2022,(District 140102) J4858D | Aruba 1G SFP LC SX 500m MMF Transceiver,0,0,0,53.55,0,15,SAPULPA PUBLIC SCHOOLS,803.25,No,Hp,OK,803.25,0,0,0,53.55
School District,221022885,140353,riley.harpole@kelloggllc.com,Extreme Networks,Transceiver,2299030998,2022,(District 140353) 10301 | 10GBase SR LC Multimode 10G transceiver,0,0,0,75,0,30,HOLDENVILLE SCHOOL DISTRICT 35,2250,No,Extreme,OK,2250,0,0,0,75
School District,221032694,16051616,kenny@acklin.net,Ubiquiti,Switch,2299048137,2022,US-16-150W Ubiquiti16 port switch managed PoE+ w SFP,0,0,0,718.5,0,1,"BIG FIVE COMMUNITY SERVICES, INC.",718.5,Yes,Ubiquiti,OK,718.5,0,0,0,718.5
School District,221023746,140093,riley.harpole@kelloggllc.com,Extreme Networks,Access Point,2299032458,2022,(District 140093) AP4000-WW | Indoor Tri Radio Wi-Fi 6E AP,0,0,0,400,0,91,PERKINS-TRYON SCHOOL DIST I-56,36400,No,Extreme,OK,36400,0,0,0,400
School District,221039465,139820,micmatthews@wayne.k12.ok.us,Fortinet,Cabling,2299059056,2022,unknown,0,0,0,28087.61,0,1,WAYNE INDEP SCHOOL DISTRICT 10,28087.61,Yes,Fortinet,OK,28087.61,0,0,0,28087.61
School District,221016133,139787,eratemone4u@yahoo.com,Aruba,Access Point,2299020150,2022,AP-515 Q9H63A,0,0,0,567.39,0,4,BRAY-DOYLE SCHOOL DIST I 42,2269.56,No,Hp,OK,2269.56,0,0,0,567.39
School District,221011003,140269,riley.harpole@kelloggllc.com,Ruckus Wireless,Switch,2299013005,2022,(District 140269) CX7150-48ZP-E8X10GRRMT3 | ICX7150 SWCH 48PT POE+ 16X2.5G POH 8X10G,0,0,0,2604.64,710.36,64,PONCA CITY INDEP SCH DIST 71,166696.96,Yes,Ruckus,OK,166696.96,0,0,0,3315
School District,221032232,140189,cbailey@kelloggllc.com,Juniper Networks,License,2299046946,2022,(District 140189) SVC-COR-EX2300-VC | Juniper Care,0,0,0,145.6,0,0,HULBERT PUBLIC SCHOOLS,0,No,Hp,OK,0,0,0,0,145.6
School District,221024890,140324,dsovereign@kelloggllc.com,Aruba,Access Point,2299034577,2022,"(District 140324) Q9H63A | HPE Aruba AP-515 (US) - Campus - wireless access point -Wi-Fi 5 - 2.4 GHz, 5 GHz - in-ceiling",0,0,0,550.71,0,9,SHAWNEE INDEP SCHOOL DIST I-93,4956.39,No,Hp,OK,4956.39,0,0,0,550.71
School District,221017312,140334,riley.harpole@kelloggllc.com,Extreme Networks,Transceiver,2299021916,2022,(District 140334) 10301-CDW | Proline Extreme 10301 Compatible SFP+ TAA CompliantTransceiver - SFP+ tran,0,0,0,279,0,20,BYNG SCHOOL DISTRICT 16,5580,No,Extreme,OK,5580,0,0,0,279
School District,221034207,140013,cbailey@kelloggllc.com,Ubiquiti,Switch,2299050270,2022,(District 140013) USW-AGGREGATION | Ubiquiti 'Unifi Switch Aggregration-8 x 10G,0,0,0,269,0,1,FORGAN INDEP SCHOOL DIST 123,269,No,Ubiquiti,OK,269,0,0,0,269
School District,221022885,140353,riley.harpole@kelloggllc.com,Extreme Networks,Switch,2299030998,2022,(District 140353) 16565 | 220-48p-10GE4 - 220-Series 48 Port,0,0,0,1916.1,0,30,HOLDENVILLE SCHOOL DISTRICT 35,57483,No,Extreme,OK,57483,0,0,0,1916.1
School District,221024166,140326,riley.harpole@kelloggllc.com,Extreme Networks,License,2299033251,2022,"(District 140326) 5320-10GUPG-4XLIC-P | Speed upgrade license - 4-ports 1 GbESFP to 10 GbE SFP+ - for P/N: 5320-48P-8XE, 5320-48T-8XE",0,0,0,430.24,0,3,BETHEL PUBLIC SCHOOLS,1290.72,No,Extreme,OK,1290.72,0,0,0,430.24
School District,221032361,139874,riley.harpole@kelloggllc.com,Extreme Networks,Access Point,2299047276,2022,(District 139874) AP410C-FCC | AP410C - Wireless,0,0,0,528.98,0,17,BISHOP SCHOOL DISTRICT C-049,8992.66,No,Extreme,OK,8992.66,0,0,0,528.98
School District,221035128,140356,rbotts@kelloggllc.com,Cisco Systems,Module,2299051630,2022,(District 140356) C9200L- STACK-KIT | CISCO CATALYST 9200L STACK MODULE,0,0,0,643.28,0,4,MCLOUD PUBLIC SCHOOLS,2573.12,No,Cisco,OK,2573.12,0,0,0,643.28
School District,221005020,140070,kimberly@crwconsulting.com,Ubiquiti,Access Point,2299005121,2022,UAP-AC-SHD-US,0,0,0,579,0,15,GLENCOE INDEP SCHOOL DIST 101,8685,Yes,Ubiquiti,OK,8685,0,0,0,579
School District,221020885,139861,dsovereign@kelloggllc.com,Cisco Systems,Switch,2299027601,2022,(District 139861) C9200L-48P-4X-EDU | Catalyst 9200L - Switch - L3,0,0,0,3340.95,0,2,MARIETTA INDEP SCH DISTRICT 16,6681.9,No,Cisco,OK,6681.9,0,0,0,3340.95
Library,221010460,139960,jenny.regier@cherokee-ok.us,Meraki,License,2299012285,2022,LIC-MX64-SEC-5YR,0,0,0,563.63,563.63,1,CHEROKEE PUBLIC LIBRARY,563.63,No,Cisco,OK,563.63,0,0,0,1127.26
