applicant_type,application_number,ben,cnct_email,form_471_manufacturer_name,form_471_product_name,funding_request_number,funding_year,model_of_equipment,monthly_quantity,monthly_recur_ineligible_cost,monthly_recurring_unit_eligible_costs,one_time_eligible_costs,one_time_ineligible_cost,one_time_quantity,organization_name,pre_discount_extended_eligible_line_item_costs,price,standardized_vendor,state,total_eligible_one_time_costs,total_eligible_recurring_costs,total_monthly_cost,total_monthly_eligible_recurring_costs,total_one_time_cost
School District,251013027,140705,atrice@esc12.net,Ubiquiti,Module,2599014554,2025,UACC-OM-SFP28,0,0,0,115.92,0,16,PITTSBURG INDEP SCHOOL DIST,1854.72,No,Ubiquiti,TX,1854.72,0,0,0,115.92
School District,251026009,140599,collect-ed@hotmail.com,Extreme Networks,License,2599034854,2025,USK12-STD-A-S-C-EW-1Y,0,0,0,119.73,0,2,CHAPEL HILL INDEP SCHOOL DIST,239.46,No,Extreme,TX,239.46,0,0,0,119.73
School District,251031496,142007,jrutkowski@haskell.esc14.net,Ruckus,Switch,2599043953,2025,ICX8200-48PF2- E2,0,0,0,4026.32,0,2,HASKELL INDEP SCHOOL DISTRICT,8052.64,No,Ruckus,TX,8052.64,0,0,0,4026.32
School District,251012743,140685,courtney@crwconsulting.com,Ubiquiti,Access Point,2599014150,2025,UBI-U7PRO,0,0,0,201.02,0,54,HARLETON INDEP SCHOOL DISTRICT,10855.08,Yes,Ubiquiti,TX,10855.08,0,0,0,201.02
School District,251021450,141354,karla@crwconsulting.com,Extreme Networks,Switch,2599027108,2025,XN-2PRKMT299,0,0,0,45.53,0,14,PEARLAND IND. SCHOOL DISTRICT,637.42,Yes,Extreme,TX,637.42,0,0,0,45.53
School District,251012833,141406,cisom@esc12.net,Aruba,Switch,2599022981,2025,JL728B,0,0,0,4531.6,0,22,CALDWELL INDEP SCHOOL DISTRICT,99695.2,No,Hp,TX,99695.2,0,0,0,4531.6
Library,251017968,141672,klewis@e-ratecentral.com,Meraki,License,2599049212,2025,LIC-MX75-SEC-7Y,0,0,0,2706.24,0,1,LAGUNA VISTA PUBLIC LIBRARY,2706.24,No,Cisco,TX,2706.24,0,0,0,2706.24
School District,251021450,141354,karla@crwconsulting.com,Extreme Networks,License,2599027108,2025,XCIQ-PT075-CEW-5YK12,0,0,0,2301.43,0,2,PEARLAND IND. SCHOOL DISTRICT,4602.86,Yes,Extreme,TX,4602.86,0,0,0,2301.43
School District,251021450,141354,karla@crwconsulting.com,Extreme Networks,Switch,2599027108,2025,7520-48Y-8C-AC-F,0,0,0,7023.37,0,5,PEARLAND IND. SCHOOL DISTRICT,35116.85,Yes,Extreme,TX,35116.85,0,0,0,7023.37
School District,251008395,140658,collect-ed@hotmail.com,Aruba,License,2599008493,2025,Q9Y60AAE,0,0,0,215.33,0,73,SIMMS INDEP SCHOOL DISTRICT,15719.09,No,Hp,TX,15719.09,0,0,0,215.33
School District,251012743,140685,courtney@crwconsulting.com,Netgear,Firewall Services & Components,2599014152,2025,Netgate 8300 BASE pfSense+ SecurityGateway,0,0,0,3224.77,0,1,HARLETON INDEP SCHOOL DISTRICT,3224.77,Yes,Netgear,TX,3224.77,0,0,0,3224.77
School District,251015044,141296,courtney@crwconsulting.com,Aruba,Transceiver,2599017503,2025,J9152D,0,0,0,421.74,0,2,SEALY INDEP SCHOOL DISTRICT,843.48,Yes,Hp,TX,843.48,0,0,0,421.74
School District,251025060,141460,dbrown@banderaisd.net,Ubiquiti,Switch,2599033226,2025,USW-Enterprise-8-PoE,0,0,0,468.1,0,10,BANDERA INDEP SCHOOL DISTRICT,4681,No,Ubiquiti,TX,4681,0,0,0,468.1
School District,251019547,141357,kimberly@crwconsulting.com,Cisco Systems,Switch,2599023994,2025,C9300-48P-E,0,0,0,5972.6,0,1,BRIDGE CITY INDEP SCHOOL DIST,5972.6,Yes,Cisco,TX,5972.6,0,0,0,5972.6
School District,251040561,140503,dhartzell@vstservices.com,Cisco Systems,Module,2599057932,2025,C9300-NM-8X,1,0,0,1025.56,0,11,FORNEY INDEP SCHOOL DISTRICT,11281.16,No,Cisco,TX,11281.16,0,0,0,1025.56
School District,251012930,140947,collect-ed@hotmail.com,Aruba,Cabling,2599014424,2025,J9281D,0,0,0,63.33,0,6,S & S C.I.S.D.,379.98,No,Hp,TX,379.98,0,0,0,63.33
School District,251000623,141095,trains@esc12.net,Ruckus Wireless,Switch,2599042031,2025,ICX7150-48PF-2X10G,0,0,0,1427.38,0,64,CHINA SPRING INDEPENDENT SCHOOL DISTRICT,91352.32,No,Ruckus,TX,91352.32,0,0,0,1427.38
School District,251031496,142007,jrutkowski@haskell.esc14.net,Ruckus,UPS/ Battery Backup,2599043953,2025,PRO1500RT2U,0,0,0,450.62,0,2,HASKELL INDEP SCHOOL DISTRICT,901.24,No,Ruckus,TX,901.24,0,0,0,450.62
School,251019151,86142,ignacio.gonzalez@estreamtech.com,Meraki,License,2599023388,2025,"Meraki MX95 Advanced Security License and Support, 3YR",0,0,0,2621.64,2621.65,1,ST. MARY OF CARMEL SCHOOL,2621.64,No,Cisco,TX,2621.64,0,0,0,5243.29
School District,251040561,140503,dhartzell@vstservices.com,Cisco Systems,Transceiver,2599057932,2025,SFP-10G-LR-ENC,0,0,0,280,0,14,FORNEY INDEP SCHOOL DISTRICT,3920,No,Cisco,TX,3920,0,0,0,280
School District,251017529,141376,cliff.joffrion@sbcglobal.net,Cisco Systems,Cabling,2599020808,2025,Cisco Stack Wise 480 - stacking cable - 10 ft STACK-Tl-3M=,0,0,0,207.3,0,2,ORANGEFIELD INDEP SCHOOL DIST,414.6,No,Cisco,TX,414.6,0,0,0,207.3
School District,251034827,141036,key@throck.org,Cisco Systems,"Installation, Activation, & Initial Configuration",2599056992,2025,"Configure equipment, configure cloud management adn access to all switches and interner connectivity to all buidlings, Vlan configuration for data, travel and expenses",0,0,0,1900,0,1,THROCKMORTON COLLEGIATE SCHOOL DISTRICT,1900,Yes,Cisco,TX,1900,0,0,0,1900
School District,251010323,140673,karla@crwconsulting.com,Ruckus Wireless,License,2599010958,2025,801--8200C-N-5 WD SPT-8200-C0BPF 5 YR NDP,0,0,0,0,124.99,7,GILMER INDEP SCHOOL DISTRICT,0,Yes,Ruckus,TX,0,0,0,0,124.99
School District,251025992,141084,sburkhart@thrallisd.org,Cisco Systems,Access Point,2599052066,2025,Cisco Catalyst 9164I-MR,0,0,0,680.98,0,49,THRALL INDEP SCHOOL DISTRICT,33368.02,No,Cisco,TX,33368.02,0,0,0,680.98
School District,251040768,17025196,jpillo@eratefirst.com,Ubiquiti,Switch,2599058226,2025,USW-Pro-8-PoE,0,0,0,497.25,0,1,CEDARS INTERNATIONAL ACADEMY SCHOOLS,497.25,No,Ubiquiti,TX,497.25,0,0,0,497.25
School District,251029038,141088,kdomke@eratespecialist.org,Aruba,"Installation, Activation, & Initial Configuration",2599039901,2025,Switch Install and Configure,0,0,0,0.01,2755.24,1,AVALON INDEP SCHOOL DISTRICT,0.01,Yes,Hp,TX,0.01,0,0,0,2755.25
School District,251014286,141488,rtollett@lytleisd.com,Cisco Systems,License,2599016529,2025,CON-SNT-C9500-4X,0,0,0,1886.93,442.61,4,LYTLE INDEP SCHOOL DISTRICT,7547.72,Yes,Cisco,TX,7547.72,0,0,0,2329.54
School District,251018024,140671,robin.dulock@esc12.net,Ruckus,Cabling,2599022227,2025,E25G-SFP28-TWX-P-00501-AO,0,0,0,103.74,0,1,ELYSIAN FIELDS SCHOOL DISTRICT,103.74,No,Ruckus,TX,103.74,0,0,0,103.74
School District,251001499,140654,collect-ed@hotmail.com,Cisco Systems,Switch,2599000916,2025,C1200-24FP-4G,0,0,0,653.31,0,6,MALTA INDEP SCHOOL DISTRICT,3919.86,No,Cisco,TX,3919.86,0,0,0,653.31
School District,251040450,141060,tim@ecspecialists.net,Hewlett Packard,Access Point,2599057759,2025,"#R7J39A, HPE AP-655 Tri Band 802.11ax 7.80 Gbit/s Wireless Access Point - 2.40  GHz, 5 GHz, 6 GHz",0,0,0,671.94,0,60,HAMILTON INDEP SCHOOL DISTRICT,40316.4,No,Hp,TX,40316.4,0,0,0,671.94
School District,251009019,141058,barrington@esc12.net,Cisco Systems,Cabling,2599009406,2025,QSFP-H40G-CU0-5M=,0,0,0,146.74,1.48,1,GATESVILLE ISD,146.74,No,Cisco,TX,146.74,0,0,0,148.22
School District,251011539,141142,aalvarez@esc12.net,Hewlett Packard,Transceiver,2599058639,2025,J8177D-AO,0,0,0,41.8,0,4,HALLSBURG I.S.D,167.2,No,Hp,TX,167.2,0,0,0,41.8
School District,251001808,141166,shanda.schmidt@masonisd.net,Extreme Networks,License,2599027852,2025,USK12-STD-CS-C-EW-3Y,0,0,0,670,0,11,MASON INDEP SCHOOL DISTRICT,7370,No,Extreme,TX,7370,0,0,0,670
School District,251027439,142036,nicholas.rutherford@wintersisd.org,Meraki,License,2599037236,2025,LIC-MS120-8FP-1YR,0,0,0,26.78,0,4,WINTERS INDEP SCHOOL DISTRICT,107.12,No,Cisco,TX,107.12,0,0,0,26.78
School,251019151,86142,ignacio.gonzalez@estreamtech.com,Meraki,Access Point,2599023388,2025,MR36,0,0,0,354.8,0,2,ST. MARY OF CARMEL SCHOOL,709.6,No,Cisco,TX,709.6,0,0,0,354.8
School District,251024487,140444,tracyneal@vstservices.com,Cisco Systems,Access Point,2599032224,2025,C9166I-B,1,0,0,952.84,0,500,CARROLLTON-FARMERS BR SCH DIST,476420,No,Cisco,TX,476420,0,0,0,952.84
School District,251001797,141962,susan.vardeman@esc12.net,Cisco Systems,Transceiver,2599007690,2025,SFP-10G-SR-S-AO,0,0,0,88,0,10,SEAGRAVES Independent School District,880,No,Cisco,TX,880,0,0,0,88
School District,251000069,141306,masmith@esc12.net,Juniper Networks,Cabling,2599021003,2025,JNP-100G-DAC-3M,0,0,0,87.02,0,2,COLUMBIA-BRAZORIA IND SCH DIST,174.04,No,Hp,TX,174.04,0,0,0,87.02
School District,251040561,140503,dhartzell@vstservices.com,Cisco Systems,Cabling,2599057932,2025,STACK-T1-50CM,1,0,0,40.22,0,11,FORNEY INDEP SCHOOL DISTRICT,442.42,No,Cisco,TX,442.42,0,0,0,40.22
School District,251026009,140599,collect-ed@hotmail.com,Extreme Networks,Access Point,2599034854,2025,AP305C-FCC,0,0,0,103.95,0,2,CHAPEL HILL INDEP SCHOOL DIST,207.9,No,Extreme,TX,207.9,0,0,0,103.95
Library,251017968,141672,klewis@e-ratecentral.com,Meraki,License,2599049212,2025,LIC-MS130-48-7Y,0,0,0,758.07,0,1,LAGUNA VISTA PUBLIC LIBRARY,758.07,No,Cisco,TX,758.07,0,0,0,758.07
School District,251021450,141354,karla@crwconsulting.com,Extreme Networks,Access Point,2599027103,2025,AP4000-WW,0,0,0,339.73,0,2163,PEARLAND IND. SCHOOL DISTRICT,734835.99,Yes,Extreme,TX,734835.99,0,0,0,339.73
School District,251027665,141507,kroiuk@kelloggllc.com,Extreme Networks,Switch,2599037605,2025,"""(FALL 141507) 5420M-48W- 4YE | ExtremeSwitching 5420M 48 10/100/1000BASET FDX/HDX 802.3bt 90W PoE 2 Stacking/SFP-DD 4 10/25G Unpopulated SFP28 MACsec Capable includes Fan Module 2 Unpopulated Modular PSU Slots - 100% ERATE ELIGIBLE""",0,0,0,2873.74,0,6,FALLS CITY INDEP SCHOOL DIST,17242.44,No,Extreme,TX,17242.44,0,0,0,2873.74
School District,251028514,141424,technology@nzisd.org,Meraki,Antenna,2599040950,2025,Dual-band Omni,0,0,0,112.99,0,2,NORTH ZULCH SCHOOL DISTRICT,225.98,No,Cisco,TX,225.98,0,0,0,112.99
School District,251028514,141424,technology@nzisd.org,Meraki,Access Point,2599040950,2025,MR76 Wi-Fi 6 Outdoor,0,0,0,811.93,0,2,NORTH ZULCH SCHOOL DISTRICT,1623.86,No,Cisco,TX,1623.86,0,0,0,811.93
School District,251008395,140658,collect-ed@hotmail.com,Aruba,"Installation, Activation, & Initial Configuration",2599008493,2025,Q9Y60AAE,0,0,0,5250,0,1,SIMMS INDEP SCHOOL DISTRICT,5250,Yes,Hp,TX,5250,0,0,0,5250
School District,251006691,141258,bcrubaugh@e-ratecentral.com,Cisco Systems,Access Point,2599028391,2025,CW9166I-MR,0,0,0,852.54,0,250,MAGNOLIA INDEP SCHOOL DISTRICT,213135,No,Cisco,TX,213135,0,0,0,852.54
School District,251029897,140960,kbrunker@archercityisd.net,Extreme Networks,Cabling,2599045660,2025,10G-DACA-SFP1M,0,0,0,69,0,20,ARCHER CITY SCHOOL DISTRICT,1380,No,Extreme,TX,1380,0,0,0,69
School District,251017529,141376,cliff.joffrion@sbcglobal.net,Cisco Systems,License,2599020808,2025,C9300L-DNA-E-48-3Y,0,0,0,609.42,0,1,ORANGEFIELD INDEP SCHOOL DIST,609.42,No,Cisco,TX,609.42,0,0,0,609.42
School,251033118,85841,ignacio.gonzalez@estreamtech.com,Meraki,License,2599046559,2025,"Meraki MR Enterprise License, 5 Year",0,0,0,492.97,0,19,JAMES L. COLLINS CATHOLIC SCHOOL,9366.43,No,Cisco,TX,9366.43,0,0,0,492.97
School District,251018698,140856,collect-ed@hotmail.com,Cisco Systems,Access Point,2599022590,2025,MR86-HW,0,0,0,1014.32,0,10,GODLEY INDEP SCHOOL DISTRICT,10143.2,No,Cisco,TX,10143.2,0,0,0,1014.32
School District,251021450,141354,karla@crwconsulting.com,Extreme Networks,"Installation, Activation, & Initial Configuration",2599027108,2025,XN-2PRKMT299,0,0,0,45.53,0,2,PEARLAND IND. SCHOOL DISTRICT,91.06,Yes,Extreme,TX,91.06,0,0,0,45.53
School District,251027665,141507,kroiuk@kelloggllc.com,Extreme Networks,Module,2599037605,2025,(FALL 141507) XN-ACPWR-920W | 920W AC Power Supply - 100% ERATE ELIGIBLE,0,0,0,338.33,0,6,FALLS CITY INDEP SCHOOL DIST,2029.98,No,Extreme,TX,2029.98,0,0,0,338.33
School,251033497,198871,apolanco@burnhamwood.org,Cisco Systems,License,2599050891,2025,LIC-C9300-48E-5Y,0,0,0,1776,0,9,EL PASO EDUCATION INITIATIVE INC DBA BURNHAM  WOOD CHARTER SCHOOL,15984,No,Cisco,TX,15984,0,0,0,1776
School District,251040796,141035,dhartzell@vstservices.com,Aruba,Switch,2599058264,2025,JL675A,1,0,0,3072.97,0,16,TOLAR INDEP SCHOOL DISTRICT,49167.52,No,Hp,TX,49167.52,0,0,0,3072.97
School District,251029897,140960,kbrunker@archercityisd.net,Extreme Networks,Switch,2599045660,2025,5320-24P-8XE,0,0,0,1419,0,2,ARCHER CITY SCHOOL DISTRICT,2838,No,Extreme,TX,2838,0,0,0,1419
School District,251023662,140672,dbelden@bandrconsultingservices.org,Ruckus Wireless,License,2599030823,2025,Ruckus SmartZone 100 WLAN Controller 1 Access Point,0,0,0,66.48,0,18,GARY INDEP SCHOOL DISTRICT,1196.64,No,Ruckus,TX,1196.64,0,0,0,66.48
School District,251040768,17025196,jpillo@eratefirst.com,Ubiquiti,Access Point,2599058226,2025,U7-Pro-Max-US,0,0,0,394.25,0,12,CEDARS INTERNATIONAL ACADEMY SCHOOLS,4731,No,Ubiquiti,TX,4731,0,0,0,394.25
School,251033118,85841,ignacio.gonzalez@estreamtech.com,Meraki,License,2599046559,2025,"Meraki Enterprise License for C9300-M, 5 Year",0,0,0,1924.83,0,2,JAMES L. COLLINS CATHOLIC SCHOOL,3849.66,No,Cisco,TX,3849.66,0,0,0,1924.83
School District,251029719,141337,karla@crwconsulting.com,Cisco Systems,License,2599041054,2025,C9300-DNA-E-48-3Y,0,0,0,569.67,0,112,GALENA PARK INDEP SCHOOL DIST,63803.04,Yes,Cisco,TX,63803.04,0,0,0,569.67
School District,251027707,141402,kimberly@crwconsulting.com,Meraki,Switch,2599037702,2025,C9300X-12Y-M,0,0,0,7975,0,2,BRENHAM INDEP SCHOOL DISTRICT,15950,Yes,Cisco,TX,15950,0,0,0,7975
School District,251012613,141143,heather.mccartney@gholsonisd.net,Ubiquiti,Switch,2599013980,2025,USW-Enterprise-48-POE,0,0,0,1543.7,0,6,GHOLSON INDEP SCHOOL DISTRICT,9262.2,No,Ubiquiti,TX,9262.2,0,0,0,1543.7
School District,251001797,141962,susan.vardeman@esc12.net,Meraki,License,2599007690,2025,LIC-C9300-48E-5Y,0,0,0,1479,0,2,SEAGRAVES Independent School District,2958,No,Cisco,TX,2958,0,0,0,1479
School,251036909,87276,tim@ecspecialists.net,Ubiquiti,Module,2599052375,2025,"#UACC-OM-SM-10G-20, 10G Single-Mode Optical Module",0,0,0,2000,0,1,MID CITIES LEARNING CTR,2000,Yes,Ubiquiti,TX,2000,0,0,0,2000
School District,251005152,140836,khinojosa@esc12.net,Ubiquiti,Cabling,2599034556,2025,UBI-UACCDACSFP1005M,0,0,0,14.36,0,10,ZAVALLA INDEP SCHOOL DISTRICT,143.6,No,Ubiquiti,TX,143.6,0,0,0,14.36
Library,251002664,141047,ehosler@e-ratecentral.com,Extreme Networks,License,2599006921,2025,XIQ-PIL-S-C-EW,0,0,0,71.79,0,2,LENA ARMSTRONG PUBLIC LIBRARY,143.58,No,Extreme,TX,143.58,0,0,0,71.79
School District,251021450,141354,karla@crwconsulting.com,Extreme Networks,License,2599027103,2025,XCIQ-PT0-C-EW-5YR-K12,0,0,0,171.68,0,2356,PEARLAND IND. SCHOOL DISTRICT,404478.08,Yes,Extreme,TX,404478.08,0,0,0,171.68
School,251017666,92570,clewis@erateprogram.com,Cisco Systems,Switch,2599021036,2025,C9300X-24Y-M,0,0,0,16594,0,1,TRINITY CHRISTIAN SCHOOL,16594,No,Cisco,TX,16594,0,0,0,16594
Library,251002664,141047,ehosler@e-ratecentral.com,Extreme Networks,Access Point,2599006921,2025,AP4000-WW,0,0,0,444.83,0,1,LENA ARMSTRONG PUBLIC LIBRARY,444.83,No,Extreme,TX,444.83,0,0,0,444.83
School,251031639,90690,usacnotifications@provisionscout.com,Cisco Systems,Switch,2599044196,2025,Cisco 24 Port POE 10 Gigabit,0,0,0,1439,0,3,THE CHRISTIAN SCHOOL AT CASTLE HILLS,4317,No,Cisco,TX,4317,0,0,0,1439
School,251036909,87276,tim@ecspecialists.net,Ubiquiti,Access Point,2599052375,2025,#U7-Pro-Outdoor-US Outdoor Wireless Access Points,0,0,0,379,0,10,MID CITIES LEARNING CTR,3790,No,Ubiquiti,TX,3790,0,0,0,379
School District,251000069,141306,masmith@esc12.net,Juniper Networks,Cabling,2599021003,2025,JNP-100G-DAC-1M,0,0,0,76.76,0,19,COLUMBIA-BRAZORIA IND SCH DIST,1458.44,No,Hp,TX,1458.44,0,0,0,76.76
School District,251001499,140654,collect-ed@hotmail.com,Cisco Systems,Transceiver,2599000916,2025,MGBSX1,0,0,0,104.38,0,6,MALTA INDEP SCHOOL DISTRICT,626.28,No,Cisco,TX,626.28,0,0,0,104.38
School District,251018024,140671,robin.dulock@esc12.net,Ruckus,Switch,2599022227,2025,ICX8200-48ZP2-E2,0,0,0,4799.05,0,8,ELYSIAN FIELDS SCHOOL DISTRICT,38392.4,No,Ruckus,TX,38392.4,0,0,0,4799.05
School District,251035258,142087,dhartzell@vstservices.com,Aruba,License,2599049830,2025,Q9Y60AAE,1,0,0,190,0,21,ALPINE INDEP SCHOOL DISTRICT,3990,No,Hp,TX,3990,0,0,0,190
School District,251021450,141354,karla@crwconsulting.com,Extreme Networks,License,2599027108,2025,XCIQ-PT075-CEW-5YK12,0,0,0,2301.43,0,14,PEARLAND IND. SCHOOL DISTRICT,32220.02,Yes,Extreme,TX,32220.02,0,0,0,2301.43
School District,251008857,230132,barrington@esc12.net,Ubiquiti,Access Point,2599009135,2025,U6- ENTERPRISE-US,0,0,0,277.26,0,5,CENTERVILLE (LEON) ISD,1386.3,No,Ubiquiti,TX,1386.3,0,0,0,277.26
School District,251005152,140836,khinojosa@esc12.net,Ubiquiti,Switch,2599034556,2025,USW-Pro-Aggregation,0,0,0,917.63,0,1,ZAVALLA INDEP SCHOOL DISTRICT,917.63,No,Ubiquiti,TX,917.63,0,0,0,917.63
School District,251038042,142049,dhartzell@vstservices.com,Meraki,License,2599054116,2025,LIC-MS425-16-5Y,1,0,0,1043.92,0,9,ANDREWS INDEP SCHOOL DISTRICT,9395.28,No,Cisco,TX,9395.28,0,0,0,1043.92
School,251001872,92193,susan.vardeman@esc12.net,Meraki,Access Point,2599032946,2025,MR36-HW,0,0,0,330,0,11,WALCOTT ELEMENTARY SCHOOL,3630,No,Cisco,TX,3630,0,0,0,330
School District,251022547,141999,mneal@clydeisd.org,Ruckus,"Fees, Taxes, etc.",2599029203,2025,Shipping,0,0,0,50,0,1,CLYDE CONSOL INDEP SCHOOL DIST,50,No,Ruckus,TX,50,0,0,0,50
School District,251005143,141892,gina.montgomery@rrisd.net,Ruckus,Access Point,2599004702,2025,R550,0,0,0,392.71,0,3,RIVER ROAD INDEP SCHOOL DIST,1178.13,No,Ruckus,TX,1178.13,0,0,0,392.71
School District,251040609,140467,dhartzell@vstservices.com,Extreme Networks,Access Point,2599057995,2025,AP5020-WW,0,0,0,899.63,0,10,LAKE DALLAS INDEP SCH DISTRICT,8996.3,No,Extreme,TX,8996.3,0,0,0,899.63
School District,251038042,142049,dhartzell@vstservices.com,Meraki,Switch,2599054116,2025,MS450-12,1,0,0,7835.76,0,1,ANDREWS INDEP SCHOOL DISTRICT,7835.76,No,Cisco,TX,7835.76,0,0,0,7835.76
School District,251038070,140953,dhartzell@vstservices.com,Ubiquiti,Switch,2599054156,2025,USW-Pro-Max-16-PoE,1,0,0,600,0,4,VALLEY VIEW INDEP SCHOOL DIST,2400,No,Ubiquiti,TX,2400,0,0,0,600
School,251013558,17018706,milan.eaton@eratepro.com,Meraki,Transceiver,2599015397,2025,SFPGLCSXMMST,0,0,0,39,0,1,Rite of Passage - Lake Granbury Academy,39,No,Cisco,TX,39,0,0,0,39
School District,251040991,141440,jhernandez@ganadoisd.net,Extreme Networks,Access Point,2599058698,2025,AP 460C,0,0,0,518.35,0,2,GANADO INDEP SCHOOL DISTRICT,1036.7,No,Extreme,TX,1036.7,0,0,0,518.35
School District,251002870,141501,jtrudeau@mcisd.esc2.net,Meraki,Switch,2599002309,2025,MS130-48X-HW,0,0,0,4399,0,9,MCMULLEN CO INDEP SCHOOL DIST,39591,No,Cisco,TX,39591,0,0,0,4399
